8;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X31(00:00-29:59);X32(00:00-29:59)
48;P(2106);ZTM;¯abi Kruk;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
49;P(2104);ZTM;Okopowa;;;2;2;2;2;2;2;2;2;2;2;2;2;1;1;;
50;P(2102);ZTM;Brama Wy¿ynna;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
51;P(2001);ZTM;Dworzec G³ówny;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
52;P(2005),1,I,H;ZTM;Brama Oliwska;;;;;;;;;2;;;;;;;2;;
53;P(2007),1,I,H;ZTM;Chodowieckiego;;;;;;;;;1;;;;;;;1;;
54;P(2009),1,I,H;ZTM;Uniwersytet Medyczny;;;;;;;;;1;;;;;;;1;;
55;P(2011),1,I,H;ZTM;Traugutta;;;;;;;;;2;;;;;;;1;;
56;P(2015),1,I,H;ZTM;Opera Ba³tycka;;;;;;;;;2;;;;;;;1;;
57;P(2017),1,I,H;ZTM;Politechnika;;;;;;;;;1;;;;;;;1;;
58;P(2019),1,I,H;ZTM;Miszewskiego;;;;;;;;;1;;;;;;;1;;
59;P(2021),1,I,H;ZTM;Jaœkowa Dolina;;;;;;;;;2;;;;;;;1;;
60;P(2023),1,I,H;ZTM;Klonowa;;;;;;;;;2;;;;;;;1;;
61;P(2025),1,I,H;ZTM;Galeria Ba³tycka;;;;;;;;;2;;;;;;;2;;
62;P(2027),1,I,H;ZTM;Wojska Polskiego;;;;;;;;;2;;;;;;;2;;
63;P(2029),1,I,H;ZTM;Zamenhofa;;;;;;;;;1;;;;;;;1;;
64;P(2031),1,I,H;ZTM;Zajezdnia;;;;;;;;;1;;;;;;;1;;
65;P(213),1,I,H;ZTM;Strzy¿a PKM;;;;;;;;;1;;;;;;;1;;
66;P(2061);ZTM;Plac Solidarnoœci;;;2;2;3;3;3;3;;3;3;2;2;2;2;;;
67;P(2063);ZTM;Stocznia SKM;;;2;2;2;2;2;2;;2;2;1;1;1;1;;;
68;P(2065);ZTM;Stocznia Pó³nocna;;;2;2;2;2;2;2;;2;2;2;2;2;1;;;
69;P(2067);ZTM;Twarda;;;1;1;1;1;1;1;;1;1;1;1;1;1;;;
70;P(2153),1,I,H;ZTM;Wêze³ Kliniczna;;;;;;;1;;;1;;;1;;1;;;
71;P(2155),1,I,H;ZTM;Swojska;;;;;;;2;;;2;;;1;;1;;;
72;P(2157),1,I,H;ZTM;¯aglowa - AmberExpo;;;;;;;2;;;2;;;2;;2;;;
73;P(2159),1,I,H;ZTM;Mostostal;;;;;;;1;;;1;;;1;;1;;;
74;P(2161),1,I,H;ZTM;PGE ARENA Gdañsk;;;;;;;2;;;2;;;2;;1;;;
75;P(2163),1,I,H;ZTM;Œnie¿na;;;;;;;1;;;1;;;1;;1;;;
76;P(2165),1,I,H;ZTM;Wyzwolenia - Marynarki Polskiej;;;;;;;2;;;2;;;2;;2;;;
77;P(2167),1,I,H;ZTM;Plac Wolnoœci;;;;;;;1;;;1;;;1;;1;;;
78;P(2168),1,I,H;ZTM;Zajezdnia Nowy Port (dla wysiad.);;;;;;;1;;;1;;;1;;1;;;
79;P(2069);ZTM;Kliniczna - Szpital;;;1;1;1;1;;1;;;1;1;;1;;;;0
80;P(2071);ZTM;Wyspiañskiego;;;2;2;2;2;;2;;;2;2;;2;;;;2
81;P(2073);ZTM;Reja;;;1;1;1;1;;1;;;1;1;;1;;;;1
82;P(2075);ZTM;Mickiewicza;;;2;2;2;2;;2;;;2;2;;2;;;;2
83;P(2077);ZTM;Plac Komorowskiego;;2;2;2;2;2;;2;;;2;2;;2;;;2;2
84;P(2079);ZTM;Legionów;;2;2;2;2;2;;2;;;2;1;;1;;;1;1
85;P(2081);ZTM;Bajana;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
86;P(2083);ZTM;¯wirki i Wigury;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
87;P(2085);ZTM;Jana Paw³a II;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
88;P(2087);ZTM;Startowa;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
89;P(2089);ZTM;Zaspa;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
90;P(2091);ZTM;Ko³obrzeska;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
91;P(2093);ZTM;Ch³opska - Obroñców Wybrze¿a;;2;2;2;2;2;;2;;;2;2;;2;;;2;2
92;P(2095);ZTM;Jagielloñska;;2;2;2;2;2;;2;;;2;2;;2;;;2;2
93;P(2097);ZTM;Piastowska;;1;1;1;1;1;;1;;;1;1;;1;;;1;1
94;P(2099);ZTM;Pomorska;;2;2;2;2;2;;2;;;2;2;;2;;;2;2
95;P(2054),1,I,H;ZTM;Gospody;;;;;;;;1;;;1;;;;;;;
96;P(2052),1,I,H;ZTM;Pomorska - Osiedle;;;;;;;;1;;;1;;;;;;;
97;P(2050),1,I,H;ZTM;Subis³awa;;;;;;;;2;;;2;;;;;;;
98;P(2048),1,I,H;ZTM;Opacka;;;;;;;;2;;;2;;;;;;;
99;P(2046),1,I,H;ZTM;Oliwa;;;;;;;;2;;;2;;;;;;;
100;P(2044),1,I,H;ZTM;Obroñców Westerplatte;;;;;;;;1;;;1;;;;;;;
101;P(2042),1,I,H;ZTM;Derdowskiego;;;;;;;;1;;;1;;;;;;;
102;P(2040),1,I,H;ZTM;Tetmajera;;;;;;;;1;;;1;;;;;;;
103;P(2038),1,I,H;ZTM;Ba¿yñskiego;;;;;;;;1;;;1;;;;;;;
104;P(2036),1,I,H;ZTM;Uniwersytet;;;;;;;;1;;;1;;;;;;;
105;P(2034),1,I,H;ZTM;Strzy¿a PKM;;;;;;;;2;;;2;;;;;;;
106;P(2055);ZTM;Osiedle Wejhera;2;1;1;1;1;1;;;;;;1;;1;;;1;1
107;P(2057);ZTM;Helska;1;1;1;1;1;1;;;;;;1;;1;;;1;1
108;B,N,K0,P(201);ZTM;Jelitkowo;1;1;1;1;1;1;;;;;;1;;1;;;1;1
